 Ag Density=10.5
 Energy(eV), Delta, Beta
  30. -0.0754486471  0.471733063
  30.1696186 -0.0729987472  0.469520777
  30.3402004 -0.0704700202  0.467318803
  30.5117435 -0.0678641796  0.465126842
  30.6842594 -0.0653078258  0.462945193
  30.8577499 -0.0626218691  0.460603476
  31.032217 -0.0598931126  0.458182037
  31.207674 -0.0572175756  0.455773354
  31.3841228 -0.0546637736  0.453271091
  31.5615711 -0.0521766953  0.450756848
  31.7400208 -0.0497385189  0.448256582
  31.9194775 -0.0473243035  0.445771486
  32.0999527 -0.0449567661  0.443300426
  32.2814484 -0.0426277705  0.440842956
  32.4639664 -0.0402780771  0.438399911
  32.6475182 -0.0379756279  0.435970485
  32.8321075 -0.0356930904  0.433554232
  33.0177422 -0.0333846398  0.431150585
  33.2044258 -0.0311234668  0.428760171
  33.3921661 -0.0288444497  0.426383168
  33.5809631 -0.0265251175  0.424019545
  33.7708321 -0.0242541637  0.421668917
  33.9617729 -0.0218769014  0.419331014
  34.1537933 -0.0194375478  0.417005867
  34.3468971 -0.0170502383  0.414693564
  34.5410995 -0.0146209449  0.412027031
  34.736393 -0.0122101437  0.40924257
  34.9327927 -0.00985147338  0.406477004
  35.1303024 -0.00771011319  0.40365541
  35.3289299 -0.00563711859  0.40084365
  35.5286827 -0.00361181493  0.398051292
  35.7295647 -0.0016857622  0.395278066
  35.9315758  0.0001974724  0.392524242
  36.1347351  0.00203608768  0.389789611
  36.3390427  0.00382232293  0.387074232
  36.5445023  0.00556824543  0.384377837
  36.7511292  0.00727600884  0.381700099
  36.9589195  0.0089475289  0.379041016
  37.1678848  0.0105806515  0.37640053
  37.3780365  0.0121835973  0.373778284
  37.5893707  0.0137567464  0.371174484
  37.8019028  0.0152930813  0.368588775
  38.0156364  0.0168077555  0.366021246
  38.2305756  0.0182940345  0.363471597
  38.4467316  0.0197449382  0.360939741
  38.6641121  0.0211843662  0.358425319
  38.8827171  0.0225944985  0.355928332
  39.102562  0.0239703376  0.353448629
  39.3236465  0.0253461357  0.35098663
  39.5459862  0.0266893357  0.348541617
  39.769577  0.0280042104  0.346113652
  39.9944382  0.0293237492  0.343702167
  40.2205696  0.0306101069  0.341307402
  40.4479713  0.0318821371  0.338929623
  40.6766701  0.0331702791  0.336568803
  40.9066544  0.0344255418  0.334224522
  41.1379395  0.0356656127  0.331860691
  41.3705368  0.0368963778  0.3294653
  41.6044502  0.038095057  0.327087134
  41.8396797  0.0392619744  0.324720472
  42.0762405  0.0403976813  0.322366714
  42.3141441  0.0415031016  0.320030004
  42.5533867  0.0425891094  0.317710042
  42.7939835  0.0436493866  0.315406859
  43.0359421  0.0446805321  0.313120425
  43.2792702  0.0457070768  0.310851395
  43.5239716  0.0467079617  0.308598846
  43.7700577  0.0476819836  0.306362659
  44.0175323  0.048657693  0.304141313
  44.266407  0.0496054627  0.301935971
  44.5166893  0.05053287  0.299746931
  44.7683907  0.0514612459  0.297574311
  45.0215111  0.0523624569  0.295417339
  45.276062  0.0532504953  0.29327628
  45.5320587  0.0541366898  0.291150928
  45.7894974  0.0549963303  0.289041013
  46.0483894  0.0558526292  0.286946028
  46.3087502  0.0567048043  0.284865826
  46.5705795  0.0575308613  0.282800674
  46.833889  0.0583746433  0.280750901
  47.0986938  0.0592145398  0.278716326
  47.3649902  0.0600282066  0.276696414
  47.6327934  0.0608511418  0.274641156
  47.9021072  0.0616559237  0.272589803
  48.1729469  0.0624350645  0.270553768
  48.4453201  0.063196592  0.268520206
  48.7192307  0.063933447  0.266501456
  48.9946899  0.0646488145  0.264497876
  49.2717056  0.0653613135  0.262508392
  49.5502892  0.0660497025  0.260533839
  49.8304482  0.0667230561  0.258574367
  50.1121902  0.0673952699  0.256629974
  50.3955231  0.0680440813  0.254700333
  50.6804619  0.0686853677  0.252785116
  50.9670105  0.0693240091  0.250884414
  51.2551804  0.0699396953  0.248997986
  51.5449753  0.0705555007  0.24712567
  51.8364143  0.0711645633  0.245267347
