 Ru Density=12.41
 Energy(eV), Delta, Beta
  30.  0.40791294  0.38811776
  30.1696186  0.404954344  0.381119192
  30.3402004  0.401890278  0.374180555
  30.5117435  0.398722976  0.367302775
  30.6842594  0.395576209  0.360551208
  30.8577499  0.3922683  0.353465796
  31.032217  0.388888299  0.346278787
  31.207674  0.385534734  0.339237779
  31.3841228  0.381705105  0.332339734
  31.5615711  0.37779215  0.325581878
  31.7400208  0.373918921  0.318961442
  31.9194775  0.369675666  0.31247589
  32.0999527  0.365463018  0.306121916
  32.2814484  0.36125648  0.299897254
  32.4639664  0.356772751  0.293799311
  32.6475182  0.352344066  0.287825257
  32.8321075  0.347876996  0.281972647
  33.0177422  0.343213797  0.276238918
  33.2044258  0.338611394  0.270621806
  33.3921661  0.33392784  0.265119821
  33.5809631  0.329115152  0.259731025
  33.7708321  0.324368298  0.254451692
  33.9617729  0.319494426  0.249282449
  34.1537933  0.314549148  0.244220227
  34.3468971  0.30967468  0.239260867
  34.5410995  0.304612666  0.234402269
  34.736393  0.299531549  0.229642689
  34.9327927  0.294525981  0.224979639
  35.1303024  0.289280027  0.220421344
  35.3289299  0.284073889  0.215956643
  35.5286827  0.278933465  0.211583406
  35.7295647  0.273510724  0.207324624
  35.9315758  0.268174708  0.203151733
  36.1347351  0.262864113  0.19906272
  36.3390427  0.257391751  0.19505623
  36.5445023  0.252009034  0.191130385
  36.7511292  0.246544793  0.187238827
  36.9589195  0.240855396  0.18334423
  37.1678848  0.235262617  0.179530665
  37.3780365  0.229418054  0.175739259
  37.5893707  0.223333508  0.171972275
  37.8019028  0.217356548  0.168286026
  38.0156364  0.210957721  0.164708376
  38.2305756  0.204401001  0.16122207
  38.4467316  0.197964564  0.157809481
  38.6641121  0.190905303  0.154558927
  38.8827171  0.183807194  0.151395977
  39.102562  0.176844224  0.148297772
  39.3236465  0.168840349  0.145262599
  39.5459862  0.160949767  0.14228949
  39.769577  0.153045341  0.139377385
  39.9944382  0.144043356  0.136525169
  40.2205696  0.133184701  0.134276509
  40.4479713  0.122463584  0.132088497
  40.6766701  0.11115469  0.130724892
  40.9066544  0.09881863  0.130617023
  41.1379395  0.0853239074  0.132342398
  41.3705368  0.0717850178  0.136007249
  41.6044502  0.0600097142  0.141740739
  41.8396797  0.0486839265  0.149307713
  42.0762405  0.0376050211  0.157278195
  42.3141441  0.0264626164  0.165674865
  42.5533867  0.0146979336  0.174518406
  42.7939835  0.00319326972  0.183834493
  43.0359421 -0.00127731881  0.206729934
  43.2792702 -0.00181915972  0.228163347
  43.5239716  0.000906844682  0.240910396
  43.7700577  0.00360530172  0.254329294
  44.0175323  0.00939372182  0.264456868
  44.266407  0.0153080383  0.273948371
  44.5166893  0.0218373332  0.280627817
  44.7683907  0.0282170996  0.286611646
  45.0215111  0.0344492234  0.291353643
  45.276062  0.0405009687  0.296006322
  45.5320587  0.0458023213  0.297909319
  45.7894974  0.0505579598  0.29982397
  46.0483894  0.0538543984  0.301749021
  46.3087502  0.0571296066  0.304561436
  46.5705795  0.0603397898  0.307630211
  46.833889  0.0640930831  0.311123312
  47.0986938  0.0686234608  0.315219402
  47.3649902  0.0742800832  0.318155676
  47.6327934  0.0799768865  0.320928246
  47.9021072  0.0863295645  0.322185695
  48.1729469  0.0925411955  0.323342681
  48.4453201  0.0987731069  0.322876781
  48.7192307  0.10485363  0.322411567
  48.9946899  0.110749371  0.321945399
  49.2717056  0.115889817  0.320016026
  49.5502892  0.120868176  0.318087101
  49.8304482  0.12560381  0.316170365
  50.1121902  0.130069554  0.314010501
  50.3955231  0.133841157  0.310869813
  50.6804619  0.137131318  0.308108658
  50.9670105  0.140030012  0.305674493
  51.2551804  0.142712757  0.303572655
  51.5449753  0.145317763  0.30148533
  51.8364143  0.147935718  0.299434483
  52.1294975  0.150710449  0.297455847
  52.4242401  0.153404355  0.295490235
  52.7206459  0.15617609  0.293467641
  53.0187302  0.159073964  0.29136622
  53.3185005  0.161887228  0.289279908
  53.6199646  0.164776474  0.287085444
  53.9231339  0.167693213  0.284820259
  54.2280159  0.170523852  0.282572895
  54.5346184  0.173381448  0.279925138
  54.8429642  0.176192597  0.277154237
  55.1530457  0.178919151  0.274410903
  55.4648819  0.181566298  0.271382034
  55.7784805  0.184132054  0.268348873
  56.093853  0.18663156  0.26532796
  56.4110107  0.189345419  0.261892259
  56.7299576  0.191974968  0.258501053
  57.0507126  0.194495484  0.254971474
  57.3732758  0.196831644  0.250771344
  57.6976662  0.199090928  0.246640339
  58.0238914  0.201018229  0.242522568
  58.3519592  0.202414438  0.238375276
  58.6818848  0.203754023  0.23429887
  59.0136681  0.20496726  0.230292022
  59.3473358  0.206059769  0.226353571
  59.682888  0.207102075  0.222482458
  60.0203362  0.208039656  0.21867764
  60.3596878  0.208902031  0.214938089
  60.7009659  0.209719136  0.21126233
  61.0441742  0.210408986  0.207117662
  61.3893127  0.211038664  0.20293735
  61.736412  0.211627722  0.198841378
  62.0854721  0.211868852  0.194823071
  62.4365044  0.212068781  0.190885872
  62.7895203  0.21223098  0.187037379
  63.1445351  0.212317064  0.183328941
  63.5015564  0.212374538  0.179694071
  63.8605919  0.212475881  0.175999194
  64.2216644  0.212731481  0.17204681
  64.5847778  0.212954655  0.168183252
  64.9499435  0.212960616  0.164283067
  65.3171692  0.212700129  0.16031602
  65.68647  0.21241872  0.156444758
  66.057869  0.211964235  0.152527422
  66.4313583  0.211387396  0.148612842
  66.8069611  0.210796818  0.144798756
  67.1846848  0.21000357  0.141028047
  67.5645523  0.209136501  0.137336805
  67.9465637  0.208262533  0.133742228
  68.3307343  0.207320258  0.130227685
  68.7170792  0.206365898  0.126803935
  69.1056061  0.205406055  0.123446003
  69.4963303  0.204426631  0.119733669
  69.8892593  0.203443363  0.11613299
  70.2844162  0.202337578  0.112633005
  70.6818085  0.200774074  0.109209917
  71.0814514  0.199220151  0.10589084
  71.483345  0.197665468  0.10271915
  71.8875122  0.196102172  0.0997230783
  72.2939682  0.194549069  0.0968143716
  72.702713  0.193031058  0.0938083753
  73.1137772  0.191545874  0.0907285139
  73.5271683  0.190069735  0.0877497494
  73.9428864  0.188421145  0.0848434344
  74.3609619  0.186696187  0.0820208639
  74.7814026  0.184986219  0.0792922154
  75.2042236  0.183163851  0.076549165
  75.629425  0.181331798  0.0738793164
  76.0570374  0.179517776  0.0713024512
  76.4870682  0.177583069  0.068807818
  76.9195251  0.175665721  0.066400297
  77.3544312  0.173755437  0.0640620142
  77.7917938  0.171775773  0.0617093444
  78.2316284  0.16981867  0.0594430827
  78.6739502  0.167863935  0.0572600923
  79.118782  0.165882096  0.0551573709
  79.5661163  0.163923621  0.0531318821
  80.0159836  0.161964193  0.0511350036
  80.4683914  0.159997612  0.049156785
  80.9233704  0.158054739  0.0472550802
  81.3809128  0.156074464  0.0454038568
  81.8410339  0.154077336  0.0436099023
  82.303772  0.152105317  0.0418868139
  82.7691116  0.15010941  0.0401738286
  83.2370911  0.148122683  0.0385118909
  83.7077179  0.146161661  0.0369187109
  84.1809998  0.144178182  0.0353910178
  84.6569672  0.142215565  0.0339264832
  85.1356201  0.140273631  0.0325113349
  85.6169739  0.138269469  0.030971745
  86.101059  0.136292577  0.029505061
  86.5878754  0.134325027  0.028107034
  87.077446  0.132318705  0.0267723631
  87.5697861  0.130340487  0.0255010724
  88.0649033  0.128350794  0.0242931638
  88.5628204  0.126321465  0.0231474917
  89.0635605  0.124321491  0.0220558438
  89.5671234  0.122324124  0.021016432
  90.0735397  0.120331615  0.0200266689
  90.5828171  0.118368402  0.0190835167
  91.0949783  0.11641904  0.0182206556
  91.6100235  0.114491329  0.0174135957
  92.1279907  0.112592131  0.0166422278
  92.6488876  0.110723801  0.0159093458
  93.1727219  0.108883888  0.0152097028
  93.6995316  0.107071184  0.0145407412
  94.2293091  0.105291337  0.0139546189
  94.7620773  0.103538007  0.0133931013
  95.2978668  0.101811148  0.0128565971
  95.8366852  0.100112528  0.0123565029
  96.3785477  0.0984392092  0.0118758632
  96.9234772  0.0967913643  0.0114173712
  97.4714813  0.0951694399  0.0109847579
  98.0225906  0.0935717002  0.010568534
  98.5768127  0.0920050293  0.0101947626
  99.1341629  0.0904706717  0.00986664649
  99.6946716  0.0889591277  0.00954908784
  100.258347  0.0874804035  0.00925177243
  100.825211  0.0860304758  0.00897026248
  101.395279  0.0846020728  0.00869731698
  101.968567  0.0832118317  0.00847227871
  102.545097  0.0818476379  0.00826580264
  103.124893  0.0805035681  0.0080643585
  103.707962  0.0791973472  0.00788144581
  104.294327  0.077912122  0.00770406658
  104.884018  0.0766472518  0.00753353396
  105.477036  0.0754245445  0.00741129695
  106.073395  0.0742196366  0.00729104504
  106.673141  0.0730413124  0.00717274752
  107.276276  0.0719128251  0.00705638807
  107.88282  0.0708004609  0.00694191689
  108.49279  0.0697117373  0.00683068531
  109.106209  0.0686516613  0.00672357297
  109.723099  0.0676065832  0.0066181398
  110.343475  0.0665823668  0.00651644543
  110.967354  0.0655780882  0.00641819462
  111.594772  0.0645879507  0.00632142322
  112.225731  0.0636166111  0.00622611167
  112.860252  0.0626612157  0.00613223808
  113.498367  0.0617192425  0.00603977917
  114.140099  0.0607941374  0.00595539901
  114.785446  0.0598827526  0.00587353157
  115.434441  0.0589841902  0.00579279056
  116.087112  0.0581021979  0.00572435698
  116.743469  0.0572326332  0.00565689802
  117.403542  0.0563750863  0.00559052732
  118.067345  0.0555285476  0.00552672381
  118.734901  0.0546938963  0.00546364766
  119.406227  0.053874474  0.00540845003
  120.081352  0.053074833  0.00537092565
  120.7603  0.052286353  0.00533366064
  121.443069  0.0515133403  0.00529666245
  122.129715  0.0507565141  0.00525992736
  122.820236  0.0500101782  0.00522344746
  123.514664  0.0492766947  0.00519318366
  124.213028  0.0485549904  0.0051670135
  124.915321  0.0478432961  0.00514097698
  125.621613  0.0471504331  0.00512139779
  126.331871  0.0464699864  0.00510392757
  127.046158  0.0457988568  0.00508651603
  127.764473  0.0451460555  0.00506914314
  128.486847  0.0445030332  0.00505182473
  129.213318  0.043869175  0.00503461389
