 W Density=19.3
 Energy(eV), Delta, Beta
  30.  0.263110489  0.204713166
  30.1696186  0.258558869  0.200761989
  30.3402004  0.253820509  0.196887091
  30.5117435  0.248899817  0.19308728
  30.6842594  0.244057432  0.189360753
  30.8577499  0.238970339  0.185795367
  31.032217  0.233795762  0.182344377
  31.207674  0.22870703  0.178957373
  31.3841228  0.223452061  0.175872266
  31.5615711  0.218225867  0.172897488
  31.7400208  0.213088781  0.169973031
  31.9194775  0.20772481  0.167098254
  32.0999527  0.202440679  0.164271966
  32.2814484  0.197181955  0.161514863
  32.4639664  0.191495061  0.158968985
  32.6475182  0.185910746  0.156463161
  32.8321075  0.180336803  0.154114321
  33.0177422  0.174618244  0.152118579
  33.2044258  0.16900523  0.150148645
  33.3921661  0.163384452  0.148204267
  33.5809631  0.157716945  0.146285176
  33.7708321  0.152155921  0.144390866
  33.9617729  0.146210775  0.142521083
  34.1537933  0.140023589  0.140675485
  34.3468971  0.133956984  0.138853788
  34.5410995  0.127274215  0.137804285
  34.736393  0.120456651  0.137038335
  34.9327927  0.113775745  0.136276647
  35.1303024  0.107104577  0.136316717
  35.3289299  0.100552529  0.136461616
  35.5286827  0.0941251367  0.136606619
  35.7295647  0.087611258  0.13675195
  35.9315758  0.0812318921  0.13689743
  36.1347351  0.0746219754  0.137043044
  36.3390427  0.0666486695  0.137188748
  36.5445023  0.0588448122  0.137334615
  36.7511292  0.0507416651  0.13889198
  36.9589195  0.0419459604  0.143192947
  37.1678848  0.0333411284  0.1476271
  37.3780365  0.0257104021  0.152655572
  37.5893707  0.0190210585  0.158327445
  37.8019028  0.0124784922  0.164210036
  38.0156364  0.00681384699  0.170795843
  38.2305756  0.00165611901  0.177910879
  38.4467316 -0.00338701345  0.185322732
  38.6641121 -0.00701573584  0.193042323
  38.8827171 -0.010260215  0.201083288
  39.102562 -0.013431049  0.209459111
  39.3236465 -0.016835738  0.218186796
  39.5459862 -0.0201738365  0.227278218
  39.769577 -0.0228630453  0.237247705
  39.9944382 -0.021268025  0.251585901
  40.2205696 -0.0197059568  0.266789824
  40.4479713 -0.014880727  0.280949175
  40.6766701 -0.0014372057  0.290397942
  40.9066544  0.0117067033  0.300164551
  41.1379395  0.0244384147  0.305308193
  41.3705368  0.0367265791  0.303887367
  41.6044502  0.0487360992  0.302473187
  41.8396797  0.058755368  0.30106625
  42.0762405  0.0673185885  0.299666166
  42.3141441  0.0756831467  0.298272699
  42.5533867  0.083567746  0.292925864
  42.7939835  0.0911654457  0.286285818
  43.0359421  0.0985822454  0.279796213
  43.2792702  0.102410182  0.272675633
  43.5239716  0.105718382  0.265641659
  43.7700577  0.108779415  0.258641779
  44.0175323  0.108250432  0.248669118
  44.266407  0.107719608  0.239081264
  44.5166893  0.106237508  0.230921686
  44.7683907  0.100964457  0.227239683
  45.0215111  0.0957963169  0.223616466
  45.276062  0.090943031  0.220418245
  45.5320587  0.0865724534  0.217934892
  45.7894974  0.0822884738  0.215479493
  46.0483894  0.0775617212  0.21449849
  46.3087502  0.0724210367  0.214936882
  46.5705795  0.0673858896  0.215376213
  46.833889  0.0631725118  0.21725744
  47.0986938  0.0594103001  0.219907656
  47.3649902  0.0557246469  0.222590014
  47.6327934  0.0533295013  0.226412952
  47.9021072  0.0512550734  0.230558991
  48.1729469  0.0492203869  0.234781191
  48.4453201  0.0491099916  0.239725828
  48.7192307  0.0490565188  0.244795993
  48.9946899  0.049363751  0.249973506
  49.2717056  0.0522428006  0.255260795
  49.5502892  0.0550510734  0.260659903
  49.8304482  0.0585719161  0.265781403
  50.1121902  0.0640253574  0.269962996
  50.3955231  0.0693494007  0.274210751
  50.6804619  0.0753771067  0.276962072
  50.9670105  0.082344979  0.277671784
  51.2551804  0.0891471133  0.278383285
  51.5449753  0.0958763883  0.278107524
  51.8364143  0.102506526  0.277134567
  52.1294975  0.108975947  0.276165068
  52.4242401  0.11466819  0.27338022
  52.7206459  0.120003246  0.269992441
  53.0187302  0.125204504  0.266646594
  53.3185005  0.129558221  0.263342232
  53.6199646  0.133714408  0.260078788
  53.9231339  0.137770995  0.256812036
  54.2280159  0.141913503  0.252732068
  54.5346184  0.145945832  0.24871704
  54.8429642  0.149701774  0.244486436
  55.1530457  0.152701512  0.239248931
  55.4648819  0.155615151  0.234123573
  55.7784805  0.157997414  0.229107752
  56.093853  0.159508809  0.224198684
  56.4110107  0.160966441  0.219394833
  56.7299576  0.162137419  0.214694202
  57.0507126  0.16304037  0.210094467
  57.3732758  0.163902715  0.205593288
  57.6976662  0.164480448  0.201188728
  58.0238914  0.164902776  0.196878657
  58.3519592  0.165294975  0.192660943
  58.6818848  0.165427327  0.188533202
  59.0136681  0.165485695  0.184493855
  59.3473358  0.165521875  0.180541039
  59.682888  0.165319428  0.176673412
  60.0203362  0.165094867  0.172888666
  60.3596878  0.164831579  0.169185147
  60.7009659  0.164398834  0.165560335
  61.0441742  0.163955063  0.162013218
  61.3893127  0.163460001  0.158542216
  61.736412  0.162853092  0.15514569
  62.0854721  0.162239268  0.151821971
  62.4365044  0.161569595  0.148569331
  62.7895203  0.16083172  0.145386189
  63.1445351  0.160090044  0.14227125
  63.5015564  0.159332961  0.139223218
  63.8605919  0.158564642  0.136240512
  64.2216644  0.157793477  0.133321732
  64.5847778  0.15698868  0.130358249
  64.9499435  0.15617162  0.127424672
  65.3171692  0.155353129  0.124557115
  65.68647  0.15435034  0.121604979
  66.057869  0.153330043  0.11870639
  66.4313583  0.1523038  0.115876965
  66.8069611  0.151113868  0.113115445
  67.1846848  0.149931446  0.110419832
  67.5645523  0.148732364  0.10778822
  67.9465637  0.147449836  0.105218917
  68.3307343  0.146177366  0.102710828
  68.7170792  0.144882068  0.100262575
  69.1056061  0.143540069  0.0978727788
  69.4963303  0.142209962  0.0955399126
  69.8892593  0.140862554  0.0932627097
  70.2844162  0.139500424  0.0910397992
  70.6818085  0.138151139  0.0888698623
  71.0814514  0.136793017  0.0867468119
  71.483345  0.135437533  0.0846721828
  71.8875122  0.134095252  0.0826471746
  72.2939682  0.132705644  0.0805187598
  72.702713  0.13131763  0.0784136504
  73.1137772  0.129944026  0.0763635859
  73.5271683  0.128422007  0.0743670389
  73.9428864  0.126914248  0.0724228024
  74.3609619  0.125410229  0.0705292821
  74.7814026  0.123833932  0.0686852708
  75.2042236  0.122277185  0.0668893829
  75.629425  0.120713808  0.0651406497
  76.0570374  0.119106084  0.063437596
  76.4870682  0.117519245  0.0617790595
  76.9195251  0.115914769  0.0601638705
  77.3544312  0.114283532  0.0585908592
  77.7917938  0.112674326  0.0570589788
  78.2316284  0.111033358  0.0555671677
  78.6739502  0.10937909  0.0541143864
  79.118782  0.107747927  0.0526995584
  79.5661163  0.106007978  0.0513217598
  80.0159836  0.104249991  0.0499799885
  80.4683914  0.102518111  0.0486732982
  80.9233704  0.100719318  0.0476225466
  81.3809128  0.0989382416  0.0466176793
  81.8410339  0.0971924961  0.0456360988
  82.303772  0.0956025422  0.0447081625
  82.7691116  0.0940360948  0.043799147
  83.2370911  0.0924865901  0.0429085642
  83.7077179  0.0909376293  0.0420361049
  84.1809998  0.0894117877  0.0411813892
  84.6569672  0.0878613517  0.0403440446
  85.1356201  0.0862534195  0.0395237245
  85.6169739  0.0846705139  0.0387200899
  86.101059  0.083066538  0.0380476043
  86.5878754  0.08144629  0.0374910235
  87.077446  0.0798519254  0.0369425789
  87.5697861  0.0783899426  0.0364578776
  88.0649033  0.0770016536  0.0360060744
  88.5628204  0.0756346434  0.0355598703
  89.0635605  0.0742993057  0.0351191908
  89.5671234  0.0729866028  0.0346839726
  90.0735397  0.0716939941  0.0342541449
  90.5828171  0.0703457594  0.0338296555
  91.0949783  0.0690174699  0.0334104225
  91.6100235  0.0677074343  0.0330284126
  92.1279907  0.0664009228  0.0328502059
  92.6488876  0.0651151538  0.0326729752
  93.1727219  0.0638960078  0.0325004049
  93.6995316  0.0628065169  0.0323377661
  94.2293091  0.0617335103  0.0321759172
  94.7620773  0.0606932826  0.032014899
  95.2978668  0.0596890859  0.0318546966
  95.8366852  0.0586997718  0.0316952914
  96.3785477  0.0577348582  0.0315366723
  96.9234772  0.0567905866  0.0313788354
  97.4714813  0.0558602475  0.0312217996
  98.0225906  0.054954078  0.0310875587
  98.5768127  0.0540645681  0.0309610423
  99.1341629  0.0531881116  0.0308350474
  99.6946716  0.0523633473  0.0307161231
  100.258347  0.0515542589  0.0305983145
  100.825211  0.0507579669  0.0304809641
  101.395279  0.0499915592  0.0303641576
  101.968567  0.0492359623  0.0302478056
  102.545097  0.0484944843  0.0301319063
  103.124893  0.0477758199  0.0300164893
  103.707962  0.0470671915  0.0299015008
  104.294327  0.0463730879  0.0297869015
  104.884018  0.0456963852  0.0296726394
  105.477036  0.0450290404  0.0295588095
  106.073395  0.0443755127  0.0294455159
  106.673141  0.0437350757  0.0293327328
  107.276276  0.043103423  0.0292203743
  107.88282  0.0424826033  0.0291084163
  108.49279  0.0418713018  0.0289968736
